Semana,Pacifico Central,Chorotega,Central Norte,Huetar Caribe,Central Sur,Brunca,Central Este,Occidente,Huetar Norte,Total
1,17,86,23,12,28,5,1,1,1,174
2,15,59,11,10,11,2,2,0,0,110
3,15,55,13,4,11,6,0,1,0,105
4,10,37,13,4,5,4,1,0,0,74
5,14,37,15,4,5,3,0,1,0,79
6,11,19,7,5,1,2,0,0,0,45
7,15,14,13,5,4,4,0,1,0,56
8,6,18,11,1,4,5,0,0,1,46
9,10,14,9,4,8,8,0,0,0,53
10,10,12,9,6,5,7,0,0,0,49
11,9,8,8,7,4,9,0,0,0,45
12,4,5,2,9,5,6,0,0,0,31
13,7,13,2,3,3,3,0,0,0,31
14,6,7,8,3,3,5,0,0,0,32
15,10,8,11,7,7,8,0,0,0,51
16,12,1,8,8,1,5,0,0,0,35
17,10,5,10,6,3,9,0,0,0,43
18,11,2,14,12,9,7,0,0,0,55
19,12,5,8,15,4,7,0,0,0,51
20,8,10,9,10,3,12,0,0,2,54
21,15,10,9,28,0,16,0,0,0,78
22,31,9,17,49,3,30,0,1,2,142
23,22,11,18,38,2,36,0,0,0,127
24,17,13,7,39,5,60,0,0,0,141
25,25,24,20,22,6,81,0,0,0,178
26,43,60,9,31,6,112,1,0,0,262
27,20,56,17,20,6,118,0,0,0,237
28,35,56,18,21,16,94,0,1,0,241
29,30,68,27,20,19,123,0,2,1,290
30,39,67,25,18,12,116,1,2,3,283
31,45,138,41,13,16,113,1,0,0,367
32,51,192,24,8,10,110,2,1,0,398
33,59,166,35,15,18,118,1,3,8,423
34,94,140,50,13,17,101,3,6,5,429
35,85,158,60,14,28,90,0,16,10,461
36,83,173,33,10,22,96,0,5,4,426
37,60,181,50,13,27,102,0,5,0,438
38,108,193,59,9,28,115,2,4,0,518
39,113,232,77,5,34,70,3,3,0,537
40,116,220,58,14,37,103,5,1,0,554
41,114,277,73,10,39,73,4,3,3,596
42,177,303,83,8,34,85,2,2,0,694
43,190,400,87,12,65,85,3,1,0,843
44,190,412,127,8,58,82,5,3,0,885
45,176,511,164,5,52,73,6,1,4,992
46,158,472,228,11,62,58,6,1,3,999
47,170,405,200,16,63,66,2,1,3,926
48,146,439,165,11,54,64,8,2,1,890
49,168,413,213,12,43,61,4,1,1,916
50,145,325,188,5,15,80,8,0,1,767
51,106,231,141,3,21,57,2,0,2,563
52,70,188,116,1,11,47,3,1,1,438
