"ST_CASE","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","LATITUDE","LONGITUD","WEATHER","FATALS","DRUNK_DR"
10005,45,2050,7,1,2015,4,7,9,31.31933056,-85.5151,1,1,0
10007,89,1730,8,1,2015,5,18,33,34.77304444,-86.52766389,1,1,0
10008,73,350,3,1,2015,7,21,30,33.46248889,-86.87090556,2,1,0
10009,117,47,13,1,2015,3,8,0,33.2361,-86.81392222,10,1,0
10012,95,1500,9,1,2015,6,6,35,34.36911667,-86.28887778,1,1,0
10016,81,2340,13,1,2015,3,17,20,32.61823889,-85.37138333,10,1,0
10020,121,2910,15,1,2015,5,17,10,33.46581111,-86.04999167,2,1,0
10026,73,2052,13,1,2015,3,13,33,33.46460556,-86.941675,10,1,0
10027,3,2890,17,1,2015,7,14,42,30.47271111,-87.66633056,1,1,0
10028,1,2540,10,1,2015,7,0,31,32.43066389,-86.51791667,1,1,1
10033,123,60,23,1,2015,6,21,22,32.87644722,-85.87761667,2,2,1
10034,3,860,15,1,2015,5,14,27,30.65515556,-87.90710278,10,1,1
10035,73,20,28,1,2015,4,9,25,33.58196667,-86.92233333,1,1,0
10038,97,2100,27,1,2015,3,16,50,30.612125,-88.07764444,1,1,0
10040,73,350,20,1,2015,3,15,57,33.43090833,-86.71233333,1,1,0
10044,73,1716,31,1,2015,7,3,10,33.39817778,-86.77766944,1,1,0
10045,97,2100,31,1,2015,7,8,19,30.62482222,-88.12466111,1,1,0
10046,17,1830,8,2,2015,1,2,15,32.84681944,-85.18687778,1,1,0
10047,97,2100,22,1,2015,5,0,7,30.66823611,-88.05437222,1,1,1
10049,73,350,29,1,2015,5,1,15,33.529925,-86.88088611,1,1,0
10051,109,3040,1,2,2015,1,14,38,31.82342222,-85.96047222,2,1,0
10057,49,2564,4,2,2015,4,17,52,34.45239167,-85.78168333,1,1,0
10058,13,1460,8,2,2015,1,14,40,31.82686111,-86.6481,1,1,0
10060,49,2564,10,2,2015,3,17,39,34.52244722,-85.82724444,10,1,0
10063,45,845,1,2,2015,1,3,55,31.28759444,-85.70040556,1,1,1
10064,97,2100,4,2,2015,4,0,19,30.70100278,-88.12357222,1,1,0
10065,3,2650,31,1,2015,7,10,47,30.45154444,-87.680225,1,1,0
10066,101,2130,8,2,2015,1,1,41,32.32658333,-86.29738611,10,1,1
10067,81,200,11,2,2015,4,11,41,32.61580556,-85.50796111,1,1,0
10069,97,2100,15,2,2015,1,21,8,30.68153889,-88.06909444,1,1,1
10071,95,50,20,2,2015,6,22,30,34.2806,-86.19588056,3,1,0
10072,73,350,22,2,2015,1,19,0,33.44571389,-86.73578611,1,1,0
10073,73,350,20,2,2015,6,23,0,33.53994444,-86.87020833,1,1,0
10074,73,1710,16,2,2015,2,5,17,33.45167778,-86.8184,1,1,0
10077,81,2340,23,2,2015,2,18,43,32.679275,-85.37018056,10,1,0
10078,125,3050,24,2,2015,3,15,52,33.2262,-87.53260833,10,1,0
10082,3,1210,24,2,2015,3,21,14,30.43372222,-87.6492,1,1,0
10084,125,2260,1,3,2015,1,10,25,33.234175,-87.63861667,1,1,1
10086,89,1730,1,3,2015,1,17,58,34.77878611,-86.65703889,2,1,1
10089,97,2550,3,3,2015,3,18,56,30.74889167,-88.13165833,1,1,1
10090,73,350,5,3,2015,5,18,25,33.49488056,-86.86086944,10,1,0
10091,97,2550,3,3,2015,3,10,52,30.73507222,-88.08218056,1,1,0
10092,81,2340,8,3,2015,1,19,10,32.61657222,-85.37138889,1,1,0
10095,101,2130,2,3,2015,2,8,7,32.28422222,-86.34324444,5,3,0
10097,115,160,18,2,2015,4,7,48,33.8332,-86.261,10,2,0
