"dates","unity","democracy","success","immigration","terror","war"
1789,4,16,10,0,2,2
1793,0,3,0,0,0,0
1797,6,52,12,0,9,5
1801,7,15,4,0,9,9
1805,1,4,6,0,4,21
1809,2,10,16,0,0,10
1813,2,12,20,0,2,83
1817,2,43,22,0,5,84
1821,6,31,18,0,16,101
1825,7,37,21,0,6,42
1829,1,10,3,0,0,6
1833,1,24,8,0,2,0
1837,7,67,20,0,20,33
1841,30,154,13,0,11,35
1845,24,59,17,0,9,36
1849,3,17,0,0,2,7
1853,10,28,9,0,17,7
1857,4,41,16,4,2,57
1861,17,52,12,0,5,18
1865,3,1,2,0,0,63
1869,4,13,0,0,3,5
1873,4,26,4,0,3,21
1877,6,42,2,0,3,2
1881,7,50,15,0,9,34
1885,4,46,0,4,5,6
1889,3,70,8,4,5,19
1893,2,54,1,0,13,5
1897,9,68,4,1,13,35
1901,1,34,16,0,3,35
1905,1,16,12,0,7,0
1909,8,31,24,3,15,41
1913,2,6,8,0,6,2
1917,2,17,4,0,2,21
1921,9,57,22,0,14,91
1925,13,57,29,1,9,32
1929,7,59,44,0,20,16
1933,5,21,8,0,24,20
1937,5,61,21,0,3,10
1941,1,60,6,0,9,0
1945,1,14,4,0,5,10
1949,1,81,12,0,43,22
1953,8,44,1,0,11,34
1957,5,32,11,0,11,20
1961,3,9,10,0,17,25
1965,7,24,7,0,0,10
1969,9,32,4,0,11,16
1973,5,15,10,0,0,27
1977,4,15,4,0,2,14
1981,8,23,10,0,15,20
1985,16,45,14,3,10,24
1989,6,39,7,0,2,16
1993,2,41,3,0,8,15
1997,10,38,5,0,15,13
2001,2,19,1,0,8,9
2005,12,26,12,0,24,5
2009,4,18,14,0,16,18
