"dates","unity","democracy","success","problem","terror","war","spLength"
"1789 – Washington",4,11,10,6,2,0,1538
"1793 – Washington",0,2,0,0,0,0,147
"1797 – Adams",6,42,12,0,9,5,2585
"1801 – Jefferson",7,11,4,3,9,8,1935
"1805 – Jefferson",1,0,6,0,4,21,2384
"1809 – Madison",2,6,16,3,0,10,1265
"1813 – Madison",2,7,20,2,2,82,1304
"1817 – Monroe",2,34,22,1,5,83,3693
"1821 – Monroe",6,25,18,6,16,96,4909
"1825 – Adams",7,24,21,2,6,40,3150
"1829 – Jackson",1,8,3,1,0,5,1208
"1833 – Jackson",1,20,8,0,2,0,1267
"1837 – VanBuren",7,46,20,8,20,29,4171
"1841 – Harrison",30,124,13,18,11,35,9165
"1845 – Polk",24,42,17,1,9,35,5196
"1849 – Taylor",3,10,0,2,2,5,1182
"1853 – Pierce",10,19,9,6,17,5,3657
"1857 – Buchanan",4,30,16,0,2,57,3098
"1861 – Lincoln",17,47,12,9,5,17,4005
"1865 – Lincoln",3,0,2,2,0,61,785
"1869 – Grant",4,5,0,0,3,5,1239
"1873 – Grant",4,17,4,2,3,20,1478
"1877 – Hayes",6,20,2,6,3,0,2724
"1881 – Garfield",7,47,15,1,9,33,3239
"1885 – Cleveland",4,40,0,1,5,5,1828
"1889 – Harrison",3,64,8,3,5,19,4750
"1893 – Cleveland",2,45,1,0,13,5,2153
"1897 – McKinley",9,52,4,5,13,35,4371
"1901 – McKinley",1,29,16,6,3,35,2450
"1905 – Roosevelt",1,16,12,15,7,0,1091
"1909 – Taft",8,23,24,11,15,36,5846
"1913 – Wilson",2,5,8,4,6,0,1905
"1917 – Wilson",2,16,4,5,2,20,1656
"1921 – Harding",9,51,22,4,14,90,3756
"1925 – Coolidge",13,38,29,10,9,31,4442
"1929 – Hoover",7,47,44,14,20,16,3890
"1933 – Roosevelt",5,20,8,9,24,20,2063
"1937 – Roosevelt",5,58,21,12,3,10,2019
"1941 – Roosevelt",1,59,6,0,9,0,1536
"1945 – Roosevelt",1,12,4,0,5,10,637
"1949 – Truman",1,78,12,3,43,22,2528
"1953 – Eisenhower",8,37,1,9,11,32,2775
"1957 – Eisenhower",5,30,11,4,11,17,1917
"1961 – Kennedy",3,5,10,10,17,23,1546
"1965 – Johnson",7,22,7,4,0,9,1715
"1969 – Nixon",9,30,4,2,11,16,2425
"1973 – Nixon",5,12,10,5,0,25,2028
"1977 – Carter",4,14,4,3,2,14,1380
"1981 – Reagan",8,19,10,16,15,17,2801
"1985 – Reagan",16,44,14,9,10,22,2946
"1989 – Bush",6,36,7,6,2,16,2713
"1993 – Clinton",2,40,3,2,8,15,1855
"1997 – Clinton",10,38,5,12,15,13,2462
"2001 – Bush",2,10,1,8,8,8,1825
"2005 – Bush",12,18,12,3,24,5,2376
"2009 – Obama",4,16,14,4,16,15,2726
