"dates","names","alliance","confederation","integrity","one","unity","citizenry","country","democracy","department","freedom","majority","multitude","nation","people","republic","state","advancement","invention","progress","success","technology","win","foreigner","immigration","invader","settler","approach","attack","communist","concern","fear","fire","menace","panic","terror","terrorism","threat","artillery","battle","conflict","dictatorship","gun","invasion","struggle","war","weapon"
1789,"Washington",0,0,0,4,0,0,5,0,2,0,0,0,12,8,1,14,1,0,0,8,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1793,"Washington",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,"Adams",0,2,3,1,0,0,10,0,0,0,1,0,72,40,1,84,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,5,0
1801,"Jefferson",1,0,0,6,0,0,4,0,0,4,2,0,12,4,5,14,0,0,0,4,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0
1805,"Jefferson",0,0,0,1,0,0,4,0,0,2,0,0,18,0,0,84,0,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0
1809,"Madison",0,0,0,2,0,0,4,0,1,1,0,0,30,2,3,35,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1813,"Madison",0,0,0,2,0,0,5,0,0,0,0,0,21,6,1,35,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,80,0
1817,"Monroe",0,0,0,2,0,0,9,0,3,0,0,0,54,30,1,203,0,0,2,20,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,18,0,65,0
1821,"Monroe",0,0,0,6,0,0,6,0,2,0,0,0,42,22,1,182,0,0,10,8,0,0,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,4,0,0,6,1,90,0
1825,"Adams",0,2,1,4,0,0,13,4,3,5,0,0,63,14,3,56,0,2,2,16,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,40,0
1829,"Jackson",0,0,1,0,0,0,2,0,0,1,0,0,18,8,0,28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
